user_name	media_viewers	pico_viewers	desvio_viewers	frequencia	crescimento_medio	volatilidade	tempo_horas	language	game_id
AaRONDaRkOTB	295.0	312	15.132745950421556	3	14.5	10.606601717798213	0.75	ru	29595.0
Aaceful	1187.9714285714285	2068	448.48394854313386	35	24.38235294117647	265.5626405253208	8.75	ja	516575.0
Aavak	467.16279069767444	665	78.30919493312513	43	5.214285714285714	46.02148793679291	10.75	en	1161596311.0
Abaraii	474.6666666666667	544	66.10799245678746	6	34.0	16.263455967290593	1.5	fr	509658.0
Abbude_19	588.25	660	75.24792355939131	4	59.0	47.57099956906519	1.0	de	509658.0
AbbyCakes	449.02222222222224	816	173.05523144739985	45	6.340909090909091	67.53291813414013	11.25	en	229772247.0
AbbyJamz	194.66666666666666	205	10.503967504392483	3	-10.5	0.7071067811865476	0.75	en	27284.0
AbdelKdR	272.0	406	77.08251608318376	8	-31.714285714285715	31.06291618481372	2.0	fr	21779.0
Abehamm	257.75	322	50.23018443696407	8	13.285714285714286	35.20281374035456	2.0	en	499003.0
Abgxlina	461.0110497237569	1046	172.54793179320978	181	-0.6888888888888889	126.34281151337775	45.25	en	509658.0
AbkinNichtgelb	1110.6	1179	76.00526297566508	5	49.0	58.1606969238391	1.25	de	509658.0
AbneyDude	453.77777777777777	675	120.1697600972477	18	-15.529411764705882	51.821951969048335	4.5	en	491931.0
AbolishEGirls	534.6857142857143	714	89.58557244286588	35	-3.4411764705882355	60.159984272478695	8.75	en	491487.0
AboutOliver	351.4	395	27.984916572245766	10	8.11111111111111	26.327003458637503	2.5	en	1414860634.0
AbraJrodzz	204.625	206	1.6850180160122046	8	0.14285714285714285	1.864454471471609	2.0	en	168648543.0
Abramovich	610.2285714285714	742	90.20730559768025	35	0.2647058823529412	67.41967558488753	8.75	ru	509658.0
Abraxsus1983	2321.3333333333335	2460	121.9111698464637	3	114.5	102.5304832720494	0.75	de	502181387.0
Absol_dayo	340.8333333333333	381	34.654965974109196	6	11.2	58.75117020111174	1.5	ja	516575.0
Absoltastic	357.18518518518516	495	64.98818652235487	27	0.23076923076923078	50.04182865748029	6.75	en	497451.0
